FileName,Label,ImageData
7001-139.jpg,Cracked,"[[[171 171 171]
  [171 171 171]
  [170 170 170]
  ...
  [179 179 177]
  [180 180 178]
  [181 181 179]]

 [[166 166 166]
  [167 167 167]
  [168 168 168]
  ...
  [179 179 177]
  [180 180 178]
  [181 181 179]]

 [[165 165 165]
  [166 166 166]
  [167 167 167]
  ...
  [178 178 176]
  [180 180 178]
  [181 181 179]]

 ...

 [[166 166 164]
  [165 165 163]
  [167 167 165]
  ...
  [177 177 177]
  [180 180 180]
  [182 182 182]]

 [[162 162 160]
  [163 163 161]
  [165 165 163]
  ...
  [176 176 176]
  [178 178 178]
  [178 178 178]]

 [[161 161 159]
  [163 163 161]
  [167 167 165]
  ...
  [173 173 173]
  [173 173 173]
  [173 173 173]]]"
7001-151.jpg,Cracked,"[[[175 175 173]
  [176 176 174]
  [177 177 175]
  ...
  [176 176 176]
  [174 174 174]
  [174 174 174]]

 [[174 174 172]
  [176 176 174]
  [177 177 175]
  ...
  [176 176 176]
  [174 174 174]
  [173 173 173]]

 [[174 174 172]
  [175 175 173]
  [176 176 174]
  ...
  [175 175 175]
  [174 174 174]
  [173 173 173]]

 ...

 [[169 169 169]
  [171 171 171]
  [174 174 174]
  ...
  [182 182 182]
  [182 182 182]
  [183 183 183]]

 [[172 172 172]
  [174 174 174]
  [176 176 176]
  ...
  [182 182 182]
  [182 182 182]
  [183 183 183]]

 [[174 174 174]
  [176 176 176]
  [177 177 177]
  ...
  [182 182 182]
  [184 184 184]
  [186 186 186]]]"
7001-157.jpg,Cracked,"[[[166 166 164]
  [167 167 165]
  [170 170 168]
  ...
  [167 169 168]
  [173 175 174]
  [177 179 178]]

 [[170 170 168]
  [171 171 169]
  [172 172 170]
  ...
  [172 174 173]
  [174 176 175]
  [176 178 177]]

 [[176 176 174]
  [176 176 174]
  [175 175 173]
  ...
  [177 179 178]
  [176 178 177]
  [175 177 176]]

 ...

 [[180 180 178]
  [183 183 181]
  [179 179 177]
  ...
  [169 171 170]
  [170 172 171]
  [175 177 176]]

 [[179 179 177]
  [182 182 180]
  [177 177 175]
  ...
  [170 172 171]
  [170 172 171]
  [172 174 173]]

 [[178 178 176]
  [181 181 179]
  [174 174 172]
  ...
  [172 174 173]
  [171 173 172]
  [172 174 173]]]"
7001-169.jpg,Cracked,"[[[171 173 172]
  [172 174 173]
  [173 175 174]
  ...
  [190 190 190]
  [186 186 186]
  [179 179 179]]

 [[171 173 172]
  [172 174 173]
  [172 174 173]
  ...
  [190 190 190]
  [187 187 187]
  [182 182 182]]

 [[173 175 174]
  [171 173 172]
  [170 172 171]
  ...
  [190 190 190]
  [188 188 188]
  [185 185 185]]

 ...

 [[181 183 182]
  [186 188 187]
  [190 192 191]
  ...
  [183 184 186]
  [185 186 188]
  [182 183 185]]

 [[176 178 177]
  [186 188 187]
  [195 197 196]
  ...
  [179 180 182]
  [182 183 185]
  [181 182 184]]

 [[171 173 172]
  [185 187 186]
  [199 201 200]
  ...
  [176 177 179]
  [180 181 183]
  [180 181 183]]]"
7001-17.jpg,Cracked,"[[[172 173 177]
  [171 172 176]
  [170 171 175]
  ...
  [122 118 143]
  [118 113 145]
  [111 105 139]]

 [[177 178 182]
  [175 176 180]
  [173 174 178]
  ...
  [113 109 132]
  [109 105 132]
  [104  99 129]]

 [[175 176 180]
  [173 174 178]
  [170 171 175]
  ...
  [108 105 122]
  [103 100 121]
  [101  97 120]]

 ...

 [[174 175 177]
  [175 176 178]
  [177 178 180]
  ...
  [166 170 173]
  [163 167 170]
  [157 161 164]]

 [[178 179 181]
  [177 178 180]
  [176 177 179]
  ...
  [162 166 169]
  [158 162 165]
  [150 154 157]]

 [[180 181 183]
  [178 179 181]
  [175 176 178]
  ...
  [160 164 167]
  [153 157 160]
  [143 147 150]]]"
7001-173.jpg,Cracked,"[[[171 171 169]
  [172 172 170]
  [173 173 171]
  ...
  [179 179 177]
  [179 179 177]
  [180 180 178]]

 [[173 173 171]
  [173 173 171]
  [174 174 172]
  ...
  [179 179 177]
  [179 179 177]
  [180 180 178]]

 [[174 174 172]
  [174 174 172]
  [174 174 172]
  ...
  [179 179 177]
  [180 180 178]
  [180 180 178]]

 ...

 [[176 176 174]
  [176 176 174]
  [176 176 174]
  ...
  [169 169 169]
  [169 169 169]
  [172 172 172]]

 [[178 178 176]
  [177 177 175]
  [177 177 175]
  ...
  [169 169 169]
  [169 169 169]
  [172 172 172]]

 [[180 180 178]
  [179 179 177]
  [178 178 176]
  ...
  [168 168 168]
  [169 169 169]
  [173 173 173]]]"
7001-178.jpg,Cracked,"[[[175 177 176]
  [176 178 177]
  [173 175 174]
  ...
  [170 171 173]
  [172 173 175]
  [173 174 176]]

 [[175 177 176]
  [179 181 180]
  [178 180 179]
  ...
  [171 172 174]
  [171 172 174]
  [171 172 174]]

 [[177 179 178]
  [183 185 184]
  [186 188 187]
  ...
  [172 173 175]
  [170 171 173]
  [169 170 172]]

 ...

 [[160 160 160]
  [163 163 163]
  [168 168 168]
  ...
  [169 169 169]
  [167 167 167]
  [166 166 166]]

 [[164 164 164]
  [166 166 166]
  [168 168 168]
  ...
  [169 169 169]
  [167 167 167]
  [165 165 165]]

 [[167 167 167]
  [168 168 168]
  [169 169 169]
  ...
  [169 169 169]
  [167 167 167]
  [165 165 165]]]"
7001-187.jpg,Cracked,"[[[173 175 174]
  [180 182 181]
  [189 191 190]
  ...
  [173 173 173]
  [178 178 178]
  [178 178 178]]

 [[179 181 180]
  [183 185 184]
  [188 190 189]
  ...
  [176 176 176]
  [181 181 181]
  [181 181 181]]

 [[188 190 189]
  [187 189 188]
  [186 188 187]
  ...
  [178 178 178]
  [182 182 182]
  [183 183 183]]

 ...

 [[175 175 175]
  [179 179 179]
  [179 179 179]
  ...
  [184 184 182]
  [183 183 181]
  [180 180 178]]

 [[176 176 176]
  [178 178 178]
  [177 177 177]
  ...
  [185 185 183]
  [183 183 181]
  [181 181 179]]

 [[178 178 178]
  [177 177 177]
  [175 175 175]
  ...
  [185 185 183]
  [184 184 182]
  [181 181 179]]]"
7001-2.jpg,Cracked,"[[[176 176 176]
  [176 176 176]
  [175 175 175]
  ...
  [169 170 172]
  [171 172 174]
  [173 174 176]]

 [[176 176 176]
  [176 176 176]
  [175 175 175]
  ...
  [170 171 173]
  [172 173 175]
  [174 175 177]]

 [[176 176 176]
  [175 175 175]
  [174 174 174]
  ...
  [172 173 175]
  [174 175 177]
  [175 176 178]]

 ...

 [[177 178 180]
  [178 179 181]
  [181 182 184]
  ...
  [168 172 173]
  [150 154 155]
  [130 134 135]]

 [[175 176 178]
  [176 177 179]
  [177 178 180]
  ...
  [170 174 175]
  [152 156 157]
  [128 132 133]]

 [[176 177 179]
  [177 178 180]
  [177 178 180]
  ...
  [169 173 174]
  [151 155 156]
  [126 130 131]]]"
7001-208.jpg,Cracked,"[[[170 170 168]
  [176 176 174]
  [182 182 180]
  ...
  [181 181 179]
  [180 180 178]
  [175 175 173]]

 [[172 172 170]
  [177 177 175]
  [183 183 181]
  ...
  [181 181 179]
  [179 179 177]
  [173 173 171]]

 [[175 175 173]
  [179 179 177]
  [182 182 180]
  ...
  [182 182 180]
  [179 179 177]
  [172 172 170]]

 ...

 [[176 176 176]
  [174 174 174]
  [173 173 173]
  ...
  [186 186 184]
  [181 181 179]
  [176 176 174]]

 [[178 178 178]
  [175 175 175]
  [172 172 172]
  ...
  [180 180 178]
  [179 179 177]
  [177 177 175]]

 [[179 179 179]
  [175 175 175]
  [171 171 171]
  ...
  [178 178 176]
  [178 178 176]
  [179 179 177]]]"
